iter	Passed	Remaining
510	71927	68830
511	72105	68725
512	72250	68588
513	72424	68479
514	72599	68370
515	72766	68253
516	72931	68134
517	73100	68019
518	73293	67927
519	73483	67831
520	73649	67712
521	73811	67590
522	73969	67463
523	74124	67334
524	74277	67203
525	74438	67079
526	74598	66955
527	74757	66828
528	74912	66699
529	75078	66578
530	75238	66453
531	75392	66323
532	75537	66183
533	75703	66063
534	75854	65929
535	75993	65785
536	76148	65654
537	76290	65513
538	76447	65384
539	76609	65259
540	76782	65144
541	76942	65017
542	77098	64887
543	77256	64758
544	77411	64627
545	77568	64498
546	77719	64363
547	77883	64239
548	78040	64109
549	78219	63997
550	78395	63882
551	78570	63767
552	78731	63639
553	78881	63504
554	79037	63372
555	79185	63234
556	79339	63101
557	79513	62984
558	79682	62861
559	79858	62745
560	80027	62624
561	80192	62498
562	80335	62356
563	80502	62232
564	80663	62103
565	80835	61983
566	80997	61855
567	81178	61741
568	81357	61625
569	81517	61495
570	81686	61372
571	81867	61257
572	82026	61126
573	82219	61020
574	82394	60900
575	82564	60776
576	82737	60654
577	82890	60518
578	83064	60397
579	83253	60287
580	83428	60165
581	83605	60046
582	83770	59918
583	83928	59784
584	84097	59659
585	84245	59518
586	84411	59389
587	84567	59255
588	84724	59120
589	84908	59004
590	85083	58881
591	85234	58742
592	85394	58610
593	85556	58478
594	85724	58349
595	85894	58223
596	86044	58083
597	86212	57955
598	86366	57818
599	86547	57698
600	86697	57557
601	86854	57421
602	86990	57272
603	87152	57139
604	87307	57002
605	87462	56865
606	87614	56725
607	87766	56586
608	87909	56440
609	88072	56308
610	88209	56159
611	88374	56027
612	88542	55898
613	88696	55760
614	88859	55627
615	89011	55487
616	89168	55351
617	89327	55215
618	89477	55074
619	89660	54952
620	89826	54821
621	89981	54683
622	90138	54546
623	90306	54415
624	90484	54290
625	90645	54155
626	90809	54021
627	90956	53878
628	91130	53750
629	91285	53611
630	91438	53471
631	91605	53340
632	91763	53202
633	91911	53059
634	92067	52920
635	92226	52783
636	92390	52649
637	92550	52512
638	92713	52378
639	92866	52237
640	93010	52091
641	93160	51949
642	93311	51807
643	93474	51672
644	93624	51529
645	93780	51390
646	93937	51252
647	94091	51111
648	94257	50977
649	94415	50839
650	94586	50707
651	94742	50567
652	94890	50424
653	95059	50291
654	95232	50160
655	95407	50030
656	95560	49889
657	95739	49761
658	95912	49630
659	96074	49492
660	96250	49363
661	96406	49222
662	96567	49084
663	96719	48942
664	96862	48795
665	97009	48650
666	97167	48511
667	97318	48367
668	97471	48226
669	97633	48088
670	97784	47945
671	98049	47857
672	98208	47718
673	98376	47582
674	98543	47446
675	98697	47304
676	98838	47156
677	98995	47015
678	99160	46878
679	99316	46737
680	99472	46595
681	99637	46458
682	99785	46313
683	99942	46172
684	100102	46032
685	100254	45888
686	100409	45747
687	100577	45610
688	100731	45468
689	100899	45331
690	101075	45198
691	101221	45052
692	101373	44908
693	101516	44761
694	101693	44628
695	101847	44485
696	102020	44350
697	102177	44208
698	102338	44068
699	102496	43926
700	102645	43781
701	102794	43636
702	102952	43494
703	103103	43350
704	103267	43211
705	103420	43067
706	103558	42917
707	103718	42776
708	103882	42637
709	104047	42498
710	104209	42358
711	104381	42221
712	104548	42083
713	104708	41942
714	104864	41799
715	105025	41657
716	105184	41516
717	105361	41381
718	105526	41241
719	105691	41102
720	105865	40965
721	106018	40821
722	106178	40679
723	106352	40543
724	106539	40411
725	106706	40272
726	106881	40135
727	107053	39998
728	107223	39859
729	107384	39717
730	107550	39577
731	107709	39434
732	107879	39295
733	108033	39150
734	108209	39014
735	108374	38873
736	108532	38730
737	108712	38594
738	108872	38451
739	109042	38312
740	109202	38169
741	109368	38028
742	109531	37886
743	109698	37745
744	109849	37599
745	110018	37459
746	110176	37315
747	110353	37178
748	110534	37041
749	110690	36896
750	110855	36754
751	111022	36613
752	111195	36474
753	111355	36330
754	111505	36184
755	111658	36038
756	111828	35897
757	111883	35720
758	112046	35577
759	112230	35441
760	112402	35301
761	112560	35156
762	112732	35016
763	112874	34867
764	113031	34722
765	113195	34579
766	113375	34441
767	113518	34291
768	113677	34147
769	113832	34002
770	113991	33857
771	114162	33716
772	114328	33573
773	114508	33435
774	114678	33293
775	114851	33153
776	115028	33013
777	115207	32874
778	115386	32734
779	115549	32590
780	115714	32447
781	115880	32304
782	116041	32159
783	116209	32016
784	116372	31872
785	116564	31736
786	116723	31591
787	116894	31448
788	117063	31306
789	117232	31162
790	117415	31023
791	117584	30880
792	117737	30733
793	117917	30593
794	118091	30451
795	118254	30306
796	118426	30163
797	118604	30022
798	118772	29878
799	118947	29736
800	119119	29593
801	119287	29450
802	119470	29309
803	119636	29165
804	119782	29015
805	119951	28871
806	120114	28726
807	120288	28583
808	120468	28441
809	120628	28295
810	120781	28147
811	120960	28005
812	121122	27859
813	121279	27712
814	121442	27566
815	121592	27417
816	121755	27272
817	121911	27124
818	122048	26972
819	122216	26828
820	122393	26684
821	122553	26538
822	122718	26392
823	122884	26247
824	123046	26100
825	123211	25954
826	123379	25809
827	123534	25661
828	123718	25519
829	123887	25374
830	124047	25227
831	124201	25079
832	124393	24938
833	124551	24790
834	124707	24642
835	124863	24494
836	125012	24345
837	125172	24198
838	125370	24058
839	125537	23911
840	125695	23764
841	125879	23621
842	126038	23473
843	126200	23326
844	126355	23177
845	126520	23030
846	126686	22884
847	126838	22735
848	127013	22590
849	127183	22444
850	127341	22296
851	127496	22147
852	127649	21998
853	127806	21849
854	127988	21705
855	128163	21560
856	128327	21412
857	128501	21267
858	128660	21118
859	128827	20971
860	128995	20825
861	129147	20675
862	129329	20530
863	129515	20386
864	129680	20239
865	129853	20092
866	130025	19946
867	130204	19800
868	130391	19656
869	130564	19509
870	130748	19364
871	130930	19219
872	131120	19074
873	131315	18931
874	131495	18785
875	131693	18641
876	131862	18493
877	132043	18347
878	132212	18199
879	132373	18050
880	132530	17901
881	132700	17753
882	132903	17610
883	133080	17462
884	133249	17314
885	133519	17179
886	133712	17034
887	133912	16889
888	134056	16738
889	134225	16589
890	134377	16439
891	134558	16291
892	134704	16140
893	134881	15992
894	135059	15844
895	135213	15694
896	135363	15543
897	135544	15395
898	135701	15245
899	135855	15095
900	136014	14945
901	136188	14796
902	136345	14646
903	136507	14496
904	136660	14345
905	136818	14195
906	136980	14045
907	137140	13895
908	137311	13746
909	137477	13596
910	137638	13446
911	137799	13296
912	137962	13146
913	138125	12996
914	138277	12845
915	138439	12695
916	138641	12548
917	138838	12401
918	139012	12252
919	139157	12100
920	139304	11949
921	139458	11798
922	139637	11649
923	139785	11497
924	139964	11348
925	140123	11197
926	140285	11047
927	140439	10896
928	140615	10746
929	140761	10594
930	140902	10442
931	141036	10290
932	141190	10139
933	141354	9988
934	141501	9836
935	141652	9685
936	141798	9533
937	141958	9383
938	142105	9231
939	142250	9079
940	142423	8929
941	142555	8777
942	142708	8626
943	142858	8474
944	143031	8324
945	143201	8174
946	143362	8023
947	143501	7871
948	143669	7720
949	143839	7570
950	143987	7418
951	144135	7267
952	144301	7116
953	144471	6966
954	144625	6814
955	144782	6663
956	144928	6511
957	145080	6360
958	145226	6208
959	145368	6057
960	145524	5905
961	145692	5754
962	145836	5603
963	145990	5451
964	146148	5300
965	146297	5149
966	146451	4997
967	146601	4846
968	146777	4695
969	146932	4544
970	147080	4392
971	147240	4241
972	147391	4090
973	147543	3938
974	147689	3786
975	147827	3635
976	147983	3483
977	148140	3332
978	148301	3181
979	148462	3029
980	148635	2878
981	148809	2727
982	148977	2576
983	149143	2425
984	149312	2273
985	149466	2122
986	149651	1971
987	149813	1819
988	149993	1668
989	150144	1516
990	150290	1364
991	150462	1213
992	150596	1061
993	150732	909
994	150889	758
995	151049	606
996	151182	454
997	151329	303
998	151485	151
999	151638	0
